"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","V1","Année","Autres informations","Carrosserie","Consommation mixte","Emissions de CO2","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","Garantie mécanique","Etat du véhicule"
"1","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1230190388A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/peugeot/5008/1230190382A1KVVOPE5M8",0,"Peugeot occasion","5008","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Février 2012
Assurance auto : Comparez","Première main","Monospace","5.4
litres / 100 km","140
g/km","Diesel","119 121
km","4 portes avec hayon","5
places","9 900 €","6
CV","112
Ch","Manuelle",NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/renault/megane-iii/1230190380A1KVVOREMG3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1229127808A1KVVOCIC3",0,"Citroën occasion","C3","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Janvier 2017
Assurance auto : Comparez","Première main","Berline","3.7
litres / 100 km","95
g/km","Diesel","24 393
km","4 portes avec hayon","5
places","14 900 €","5
CV","99
Ch","Manuelle",NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1228949752A1KVVOCIC4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1230190378A1KVVOCIC4",0,"Citroën occasion","C4","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Janvier 2015
Assurance auto : Comparez","Première main","Berline","3.9
litres / 100 km","101
g/km","Diesel","46 728
km","4 portes avec hayon","5
places","13 900 €","6
CV","114
Ch","Automatique",NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1230103580A1KVVOCI4C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/skoda/karoq/1229962608A1KVVOSKKAR",0,"Skoda occasion","Karoq","","
Rue Fontaine de Montigné Route de Lorient - ZA des 3 Marches35132 Vezin-le-Coquet
","
SEAT RENNES - AUTOSPHERE
",NA,"Octobre 2017
Assurance auto : Comparez",NA,"4x4 - SUV","5.6
litres / 100 km","127
g/km","Essence","19 600
km","4 portes avec hayon","5
places","29 990 €","8
CV","150
Ch","Automatique",NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/partner/1228224783A1KVVOPEPAR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/renault/laguna/1230103575A1KVVORELAG",0,"Renault occasion","Laguna","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
",NA,"Novembre 2015
Assurance auto : Comparez",NA,"Break","4.6
litres / 100 km","120
g/km","Diesel","123 697
km","4 portes avec hayon","5
places","9 900 €","9
CV","175
Ch","Manuelle",NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1228181031A1KVVORECAP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1228325342A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1230190376A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","https://www.paruvendu.fr/a/voiture-occasion/citroen/c5/1229736371A1KVVOCIC5",0,"Citroën occasion","C5","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Mars 2016
Assurance auto : Comparez",NA,"Break",NA,NA,"Diesel","122 618
km","4 portes avec hayon",NA,"13 900 €","7
CV","150
Ch","Manuelle",NA,NA
"15","https://www.paruvendu.fr/a/voiture-occasion/fiat/500-x/1230216288A1KVVOFI50X",0,"Fiat occasion","500 X","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"2018
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Essence","15
km","4 portes avec hayon","5
places","20 999 €","7
CV","140
Ch","Automatique",NA,NA
"16","https://www.paruvendu.fr/a/voiture-occasion/ford/edge/1230216287A1KVVOFOEDG",0,"Ford occasion","Edge","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"2017
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Diesel","22 936
km","4 portes avec hayon","5
places","37 999 €","12
CV","210
Ch","Automatique",NA,NA
"17","https://www.paruvendu.fr/a/voiture-occasion/ford/focus-c-max/1230216286A1KVVOFOCMX",0,"Ford occasion","Focus C-MAX","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"2017
Assurance auto : Comparez",NA,"Break",NA,NA,"Diesel","25 043
km","4 portes avec hayon","5
places","16 999 €","6
CV","120
Ch","Manuelle",NA,NA
"18","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1230190374A1KVVOCIC4P",0,"Citroën occasion","C4 Picasso","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Mars 2012
Assurance auto : Comparez",NA,"Monospace",NA,"120
g/km","Diesel","114 566
km","4 portes avec hayon","5
places","7 900 €","6
CV","110
Ch","Automatique",NA,NA
"19","https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1226083163A1KVVOPE208",0,"Peugeot occasion","208","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
",NA,"Septembre 2015
Assurance auto : Comparez","Première main","Berline",NA,NA,"Diesel","50 542
km","4 portes avec hayon",NA,"12 900 €","5
CV","100
Ch","Manuelle",NA,NA
"20","https://www.paruvendu.fr/a/voiture-occasion/ford/focus-c-max/1230216284A1KVVOFOCMX",0,"Ford occasion","Focus C-MAX","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"2017
Assurance auto : Comparez",NA,"Monospace",NA,NA,"Diesel","24 550
km","4 portes avec hayon","5
places","18 999 €","6
CV","120
Ch","Manuelle",NA,NA
"21","https://www.paruvendu.fr/a/voiture-occasion/opel/astra/1230216283A1KVVOOPAST",0,"Opel occasion","Astra","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"Mai 2017
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","50 815
km","4 portes avec hayon","5
places","14 999 €","5
CV","110
Ch","Manuelle",NA,NA
"22","https://www.paruvendu.fr/a/voiture-occasion/fiat/500/1230216282A1KVVOFI500",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1230216281A1KVVOVWGOL",0,"Volkswagen occasion","Golf","","
ZA les Montagnes Espace Commercial Angoul?me Nord16430 Champniers
","
PEUGEOT ANGOULEME - AUTOSPHERE
",NA,"2017
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","22 713
km","4 portes avec hayon","5
places","18 499 €","6
CV","115
Ch","Manuelle",NA,NA
"24","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds4/1228181030A1KVVOCIDS4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
